date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:55	49953/49953	---MCZ	200	added ('OK')	text/html	etag:W/%2216e129a25370a9a9acc3f594647c49ad%22	https://resources.xceptional.com/blog/tag/cyber-threat-detection	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/cyber-threat-detection.html	(from https://resources.xceptional.com/)
11:51:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:57%20GMT	https://resources.xceptional.com/tag/cyber-threats	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-threats	(from https://resources.xceptional.com/)
11:51:58	53362/53362	---MCZ	200	added ('OK')	text/html	etag:W/%2240f45d2064beff886f4b62120e39cbe4%22	https://resources.xceptional.com/blog/tag/cyber-threats	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/cyber-threats.html	(from https://resources.xceptional.com/)
11:51:59	75640/75640	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2006:21:59%20GMT	https://resources.xceptional.com/tag/data	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/data.html	(from https://resources.xceptional.com/)
11:52:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:01%20GMT	https://resources.xceptional.com/tag/data-breach	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/data-breach	(from https://resources.xceptional.com/)
11:52:02	51683/51683	---MCZ	200	added ('OK')	text/html	etag:W/%22c5b98bbe1ddb27f3d55e3ece340ef4a4%22	https://resources.xceptional.com/blog/tag/data-breach	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/data-breach.html	(from https://resources.xceptional.com/)
11:52:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:03%20GMT	https://resources.xceptional.com/tag/data-breaches	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/data-breaches	(from https://resources.xceptional.com/)
11:52:04	49891/49891	---MCZ	200	added ('OK')	text/html	etag:W/%2267ec2b4f140fbd7dc1e48d8b185e0d0b%22	https://resources.xceptional.com/blog/tag/data-breaches	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/data-breaches.html	(from https://resources.xceptional.com/)
11:52:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:06%20GMT	https://resources.xceptional.com/tag/data-compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/data-compliance	(from https://resources.xceptional.com/)
11:52:06	50730/50730	---MCZ	200	added ('OK')	text/html	etag:W/%22f4f2c8282bba7c26fc3e05d2a6ae2ef8%22	https://resources.xceptional.com/blog/tag/data-compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/data-compliance.html	(from https://resources.xceptional.com/)
11:52:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:08%20GMT	https://resources.xceptional.com/tag/data-regulation-and-compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/data-regulation-and-compliance	(from https://resources.xceptional.com/)
11:52:09	52559/52559	---MCZ	200	added ('OK')	text/html	etag:W/%2262d369986e1f23e5b42f123e91e3117c%22	https://resources.xceptional.com/blog/tag/data-regulation-and-compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/data-regulation-and-compliance.html	(from https://resources.xceptional.com/)
11:52:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:10%20GMT	https://resources.xceptional.com/tag/data-security	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/data-security	(from https://resources.xceptional.com/)
11:52:12	51607/51607	---MCZ	200	added ('OK')	text/html	etag:W/%22f0dffa2f08e0df1862d71292f82394df%22	https://resources.xceptional.com/blog/tag/data-security	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/data-security.html	(from https://resources.xceptional.com/)
11:52:13	76115/76115	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2006:22:13%20GMT	https://resources.xceptional.com/tag/digital-transformation	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/digital-transformation.html	(from https://resources.xceptional.com/)
11:52:14	75709/75709	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2006:22:15%20GMT	https://resources.xceptional.com/tag/disaster-recovery	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/disaster-recovery.html	(from https://resources.xceptional.com/)
11:52:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:16%20GMT	https://resources.xceptional.com/tag/fedramp	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/fedramp	(from https://resources.xceptional.com/)
11:52:16	49837/49837	---MCZ	200	added ('OK')	text/html	etag:W/%22b5c273e8ef821c79fd88ded2c9e624e2%22	https://resources.xceptional.com/blog/tag/fedramp	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/fedramp.html	(from https://resources.xceptional.com/)
11:52:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:18%20GMT	https://resources.xceptional.com/tag/ftc-safeguards-rule	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/ftc-safeguards-rule	(from https://resources.xceptional.com/)
11:52:18	50001/50001	---MCZ	200	added ('OK')	text/html	etag:W/%22e533282fd364fbb6e020b27970e4c27e%22	https://resources.xceptional.com/blog/tag/ftc-safeguards-rule	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/ftc-safeguards-rule.html	(from https://resources.xceptional.com/)
11:52:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:19%20GMT	https://resources.xceptional.com/tag/gdpr	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/gdpr	(from https://resources.xceptional.com/)
11:52:20	49828/49828	---MCZ	200	added ('OK')	text/html	etag:W/%22291a25d71aee79ae4150d3c3aea6b455%22	https://resources.xceptional.com/blog/tag/gdpr	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/gdpr.html	(from https://resources.xceptional.com/)
11:52:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:21%20GMT	https://resources.xceptional.com/tag/governmental-regulations	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/governmental-regulations	(from https://resources.xceptional.com/)
11:52:22	49908/49908	---MCZ	200	added ('OK')	text/html	etag:W/%22c25e77756f5dd44afad693c6b59e7330%22	https://resources.xceptional.com/blog/tag/governmental-regulations	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/governmental-regulations.html	(from https://resources.xceptional.com/)
11:52:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:24%20GMT	https://resources.xceptional.com/tag/guest-wifi	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/guest-wifi	(from https://resources.xceptional.com/)
11:52:24	49861/49861	---MCZ	200	added ('OK')	text/html	etag:W/%22463af1d11804e8d9811881866391d9dc%22	https://resources.xceptional.com/blog/tag/guest-wifi	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/guest-wifi.html	(from https://resources.xceptional.com/)
11:52:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:26%20GMT	https://resources.xceptional.com/tag/guest-wifi-network	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/guest-wifi-network	(from https://resources.xceptional.com/)
11:52:26	49896/49896	---MCZ	200	added ('OK')	text/html	etag:W/%221c5f49fb887c63434c8a2811bd6ccf76%22	https://resources.xceptional.com/blog/tag/guest-wifi-network	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/guest-wifi-network.html	(from https://resources.xceptional.com/)
11:52:27	75563/75563	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2006:22:28%20GMT	https://resources.xceptional.com/tag/hardware	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/hardware.html	(from https://resources.xceptional.com/)
11:52:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:29%20GMT	https://resources.xceptional.com/tag/hipaa	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/hipaa	(from https://resources.xceptional.com/)
11:52:30	55097/55097	---MCZ	200	added ('OK')	text/html	etag:W/%227237f8d9a4861b7e6144eb8af98d95a6%22	https://resources.xceptional.com/blog/tag/hipaa	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/hipaa.html	(from https://resources.xceptional.com/)
11:52:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:31%20GMT	https://resources.xceptional.com/tag/hipaa-compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/hipaa-compliance	(from https://resources.xceptional.com/)
11:52:32	54471/54471	---MCZ	200	added ('OK')	text/html	etag:W/%226f90cd91566050463eff09f2d953bc7f%22	https://resources.xceptional.com/blog/tag/hipaa-compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/hipaa-compliance.html	(from https://resources.xceptional.com/)
11:52:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:22:33%20GMT	https://resources.xceptional.com/tag/hipaa-compliance-requirements	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/hipaa-compliance-requirements	(from https://resources.xceptional.com/)
